node_index,node_id,node_type,node_name,node_source
139,5111,gene/protein,PCNA,NCBI
140,6613,gene/protein,SUMO2,NCBI
141,10025,gene/protein,MED16,NCBI
142,54915,gene/protein,YTHDF1,NCBI
143,5573,gene/protein,PRKAR1A,NCBI
144,4088,gene/protein,SMAD3,NCBI
145,5359,gene/protein,PLSCR1,NCBI
146,4222,gene/protein,MEOX1,NCBI
147,1946,gene/protein,EFNA5,NCBI
148,5355,gene/protein,PLP2,NCBI
149,205,gene/protein,AK4,NCBI
150,2261,gene/protein,FGFR3,NCBI
151,1490,gene/protein,CCN2,NCBI
152,2885,gene/protein,GRB2,NCBI
153,1874,gene/protein,E2F4,NCBI
154,2332,gene/protein,FMR1,NCBI
155,1107,gene/protein,CHD3,NCBI
156,119,gene/protein,ADD2,NCBI
157,4738,gene/protein,NEDD8,NCBI
158,51255,gene/protein,RNF181,NCBI
159,11100,gene/protein,HNRNPUL1,NCBI
160,10492,gene/protein,SYNCRIP,NCBI
161,7514,gene/protein,XPO1,NCBI
162,1836,gene/protein,SLC26A2,NCBI
163,4000,gene/protein,LMNA,NCBI
164,7329,gene/protein,UBE2I,NCBI
165,64881,gene/protein,PCDH20,NCBI
166,7073,gene/protein,TIAL1,NCBI
167,3732,gene/protein,CD82,NCBI
168,1871,gene/protein,E2F3,NCBI
169,5080,gene/protein,PAX6,NCBI
170,1295,gene/protein,COL8A1,NCBI
171,830,gene/protein,CAPZA2,NCBI
172,4879,gene/protein,NPPB,NCBI
173,8766,gene/protein,RAB11A,NCBI
174,6688,gene/protein,SPI1,NCBI
175,5708,gene/protein,PSMD2,NCBI
176,5467,gene/protein,PPARD,NCBI
177,5728,gene/protein,PTEN,NCBI
178,2033,gene/protein,EP300,NCBI
179,3588,gene/protein,IL10RB,NCBI
180,57175,gene/protein,CORO1B,NCBI
181,5042,gene/protein,PABPC3,NCBI
182,932,gene/protein,MS4A3,NCBI
183,4778,gene/protein,NFE2,NCBI
184,6773,gene/protein,STAT2,NCBI
185,1477,gene/protein,CSTF1,NCBI
186,3875,gene/protein,KRT18,NCBI
187,843,gene/protein,CASP10,NCBI
188,2495,gene/protein,FTH1,NCBI
189,7316,gene/protein,UBC,NCBI
190,54544,gene/protein,CRCT1,NCBI
191,1856,gene/protein,DVL2,NCBI
192,2768,gene/protein,GNA12,NCBI
193,3671,gene/protein,ISLR,NCBI
194,5579,gene/protein,PRKCB,NCBI
195,3842,gene/protein,TNPO1,NCBI
196,1849,gene/protein,DUSP7,NCBI
197,1432,gene/protein,MAPK14,NCBI
198,5276,gene/protein,SERPINI2,NCBI
199,5423,gene/protein,POLB,NCBI
200,10488,gene/protein,CREB3,NCBI
201,1543,gene/protein,CYP1A1,NCBI
202,10987,gene/protein,COPS5,NCBI
203,23601,gene/protein,CLEC5A,NCBI
204,1054,gene/protein,CEBPG,NCBI
205,7629,gene/protein,ZNF76,NCBI
206,10236,gene/protein,HNRNPR,NCBI
207,4149,gene/protein,MAX,NCBI
208,2886,gene/protein,GRB7,NCBI
209,4627,gene/protein,MYH9,NCBI
210,4702,gene/protein,NDUFA8,NCBI
211,4878,gene/protein,NPPA,NCBI
212,10559,gene/protein,SLC35A1,NCBI
213,3630,gene/protein,INS,NCBI
214,6464,gene/protein,SHC1,NCBI
215,7266,gene/protein,DNAJC7,NCBI
216,23385,gene/protein,NCSTN,NCBI
217,163059,gene/protein,ZNF433,NCBI
218,8175,gene/protein,SF3A2,NCBI
219,3398,gene/protein,ID2,NCBI
220,11162,gene/protein,NUDT6,NCBI
221,127002,gene/protein,ATXN7L2,NCBI
222,3615,gene/protein,IMPDH2,NCBI
223,4100,gene/protein,MAGEA1,NCBI
224,56935,gene/protein,SMCO4,NCBI
225,8525,gene/protein,DGKZ,NCBI
226,7307,gene/protein,U2AF1,NCBI
227,3554,gene/protein,IL1R1,NCBI
228,2041,gene/protein,EPHA1,NCBI
229,8087,gene/protein,FXR1,NCBI
230,9512,gene/protein,PMPCB,NCBI
231,6132,gene/protein,RPL8,NCBI
232,4591,gene/protein,TRIM37,NCBI
233,55075,gene/protein,UACA,NCBI
234,6636,gene/protein,SNRPF,NCBI
235,409,gene/protein,ARRB2,NCBI
236,1029,gene/protein,CDKN2A,NCBI
237,5427,gene/protein,POLE2,NCBI
238,60,gene/protein,ACTB,NCBI
239,84330,gene/protein,ZNF414,NCBI
240,53,gene/protein,ACP2,NCBI
241,8363,gene/protein,H4C11,NCBI
242,10142,gene/protein,AKAP9,NCBI
243,5145,gene/protein,PDE6A,NCBI
244,3326,gene/protein,HSP90AB1,NCBI
245,64837,gene/protein,KLC2,NCBI
246,526,gene/protein,ATP6V1B2,NCBI
247,55030,gene/protein,FBXO34,NCBI
248,3727,gene/protein,JUND,NCBI
249,2896,gene/protein,GRN,NCBI
250,5364,gene/protein,PLXNB1,NCBI
251,890,gene/protein,CCNA2,NCBI
252,90957,gene/protein,DHX57,NCBI
253,323,gene/protein,APBB2,NCBI
254,85450,gene/protein,ITPRIP,NCBI
255,3837,gene/protein,KPNB1,NCBI
256,6628,gene/protein,SNRPB,NCBI
257,374395,gene/protein,TMEM179B,NCBI
258,9730,gene/protein,DCAF1,NCBI
259,29095,gene/protein,ORMDL2,NCBI
260,22894,gene/protein,DIS3,NCBI
261,55837,gene/protein,EAPP,NCBI
262,5976,gene/protein,UPF1,NCBI
263,9618,gene/protein,TRAF4,NCBI
264,5347,gene/protein,PLK1,NCBI
265,81851,gene/protein,KRTAP1-1,NCBI
266,8662,gene/protein,EIF3B,NCBI
267,3241,gene/protein,HPCAL1,NCBI
268,5516,gene/protein,PPP2CB,NCBI
269,904,gene/protein,CCNT1,NCBI
270,10009,gene/protein,ZBTB33,NCBI
271,54206,gene/protein,ERRFI1,NCBI
